Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,51%,31%
,Actual,Bold,Total workforce,, ,35,13
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,Bold,Total contractors,, ,0,0
,Actual,Bold,Total Agnico employees,, ,194,249
,Actual,,Total employees male,, ,127,159
,Actual,,Total employees female,, ,67,90
,Actual,,Total agnico permanent,, ,183,235
,Actual,,Permanent male,, ,121,151
,Actual,,Permanent female,, ,62,84
,Actual,,Total agnico temporary,, ,11,10
,Actual,,Temporary male,, ,6,6
,Actual,,Temporary female,, ,5,4
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,23,26
,Actual,,Student male,, ,16,17
,Actual,,Student female,, ,7,9
,Actual,Bold,Percentage contractors,, ,0%,0%
,Actual,Bold,Total workforce,, ,194,249
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,Bold,Total contractors,, ,0,0
,Actual,Bold,Total Agnico employees,, ,208,239
,Actual,,Total employees male,, ,116,132
,Actual,,Total employees female,, ,92,107
,Actual,,Total agnico permanent,, ,190,217
,Actual,,Permanent male,, ,110,120
,Actual,,Permanent female,, ,80,97
,Actual,,Total agnico temporary,, ,11,18
,Actual,,Temporary male,, ,3,11
,Actual,,Temporary female,, ,8,7
,Actual,,Total agnico on-call,, ,3,0
,Actual,,On-call male,, ,3,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,4,4
,Actual,,Student male,, ,0,1
,Actual,,Student female,, ,4,3
,Actual,Bold,Percentage contractors,, ,0%,0%
,Actual,Bold,Total workforce,, ,208,239
,,Abstract Bold,KLG Head Office,, ,,
,Actual,Bold,Total contractors,, ,0,
,Actual,Bold,Total Agnico employees,, ,29,
,Actual,,Total employees male,, ,14,
,Actual,,Total employees female,, ,15,
,Actual,,Total agnico permanent,, ,29,
,Actual,,Permanent male,, ,14,
,Actual,,Permanent female,, ,15,
,Actual,,Total agnico temporary,, ,0,
,Actual,,Temporary male,, ,0,
,Actual,,Temporary female,, ,0,
,Actual,,Total agnico on-call,, ,0,
,Actual,,On-call male,, ,0,
,Actual,,On-call female,, ,0,
,Actual,,Total student,, ,0,
,Actual,,Student male,, ,0,
,Actual,,Student female,, ,0,
,Actual,Bold,Percentage contractors,, ,0%,
,Actual,Bold,Total workforce,, ,29,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,Bold,Total contractors,, ,,0
,Actual,Bold,Total agnico employees,, ,,149
,Actual,,Total employees male,, ,,63
,Actual,,Total employees female,, ,,86
,Actual,,Total agnico permanent,, ,,135
,Actual,,Permanent male,, ,,59
,Actual,,Permanent female,, ,,76
,Actual,,Total agnico temporary,, ,,13
,Actual,,Temporary male,, ,,3
,Actual,,Temporary female,, ,,10
,Actual,,Total agnico on-call,, ,,0
,Actual,,On-call male,, ,,0
,Actual,,On-call female,, ,,0
,Actual,,Total student,, ,,1
,Actual,,Student male,, ,,1
,Actual,,Student female,, ,,0
,Actual,Bold,Percentage contractors,, ,,0%
,Actual,Bold,Total workforce,, ,,149
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,Bold,Total contractors,, ,15,2
,Actual,Bold,Total Agnico employees,, ,33,32
,Actual,,Total employees male,, ,23,24
,Actual,,Total employees female,, ,10,8
,Actual,,Total agnico permanent,, ,17,27
,Actual,,Permanent male,, ,13,22
,Actual,,Permanent female,, ,4,5
,Actual,,Total agnico temporary,, ,9,3
,Actual,,Temporary male,, ,7,1
,Actual,,Temporary female,, ,2,2
,Actual,,Total agnico on-call,, ,5,2
,Actual,,On-call male,, ,2,1
,Actual,,On-call female,, ,3,1
,Actual,,Total student,, ,2,0
,Actual,,Student male,, ,1,0
,Actual,,Student female,, ,1,0
,Actual,Bold,Percentage contractors,, ,31%,6%
,Actual,Bold,Total workforce,, ,48,34
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,Bold,Total contractors,, ,0,0
,Actual,Bold,Total Agnico employees,, ,72,79
,Actual,,Total employees male,, ,40,44
,Actual,,Total employees female,, ,32,35
,Actual,,Total agnico permanent,, ,69,77
,Actual,,Permanent male,, ,39,44
,Actual,,Permanent female,, ,30,33
,Actual,,Total agnico temporary,, ,3,2
,Actual,,Temporary male,, ,1,0
,Actual,,Temporary female,, ,2,2
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,0%,0%
,Actual,Bold,Total workforce,, ,72,79
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,Bold,Total contractors,, ,3,0
,Actual,Bold,Total Agnico employees,, ,14,18
,Actual,,Total employees male,, ,12,14
,Actual,,Total employees female,, ,2,4
,Actual,,Total agnico permanent,, ,14,18
,Actual,,Permanent male,, ,12,14
,Actual,,Permanent female,, ,2,4
,Actual,,Total agnico temporary,, ,0,0
,Actual,,Temporary male,, ,0,0
,Actual,,Temporary female,, ,0,0
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,18%,0%
,Actual,Bold,Total workforce,, ,17,18
,,Abstract Bold,Aus Exploration,, ,,
,Actual,Bold,Total contractors,, ,1,1
,Actual,Bold,Total Agnico employees,, ,16,12
,Actual,,Total employees male,, ,13,11
,Actual,,Total employees female,, ,3,1
,Actual,,Total agnico permanent,, ,15,12
,Actual,,Permanent male,, ,12,11
,Actual,,Permanent female,, ,3,1
,Actual,,Total agnico temporary,, ,1,0
,Actual,,Temporary male,, ,1,0
,Actual,,Temporary female,, ,0,0
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,6%,8%
,Actual,Bold,Total workforce,, ,17,13
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,Bold,Total contractors,, ,"4,674","5,313"
,Actual,Bold,Total Agnico employees,, ,"9,459","10,515"
,Actual,,Total employees male,, ,"8,082","8,939"
,Actual,,Total employees female,, ,"1,377","1,576"
,Actual,,Total agnico permanent,, ,"9,084","10,138"
,Actual,,Permanent male,, ,"7,853","8,706"
,Actual,,Permanent female,, ,"1,231","1,432"
,Actual,,Total agnico temporary,, ,244,235
,Actual,,Temporary male,, ,141,136
,Actual,,Temporary female,, ,103,99
,Actual,,Total agnico on-call,, ,42,41
,Actual,,On-call male,, ,32,32
,Actual,,On-call female,, ,10,9
,Actual,,Total student,, ,89,101
,Actual,,Student male,, ,56,65
,Actual,,Student female,, ,33,36
,Actual,Bold,Percentage contractors,, ,33%,34%
,Actual,Bold,Total workforce,, ,"14,133","15,828"
,,,,, ,,
,,Abstract Bold,"New Employee Hires by Age Group, Gender, and Region",,401-01,,
,,Abstract Bold,Exploration Canada ,, ,,
,Actual,,Total female new hires,, ,16,18
,Actual,,Female under 30 years,, ,12,16
,Actual,,Female 30-50 years,, ,4,2
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,25,22
,Actual,,Male under 30 years,, ,16,14
,Actual,,Male 30-50 years,, ,7,6
,Actual,,Male over 50 years,, ,2,2
,Actual,Bold,% Female new hires,, ,39%,45%
,Actual,Bold,Total new hires,, ,41,40
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total female new hires,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,1,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,1,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,0%,0%
,Actual,Bold,Total new hires,, ,1,0
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total female new hires,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,0,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,0%,0%
,Actual,Bold,Total new hires,, ,0,0
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total female new hires,, ,1,6
,Actual,,Female under 30 years,, ,1,6
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,2,2
,Actual,,Male under 30 years,, ,2,2
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,33%,75%
,Actual,Bold,Total new hires,, ,3,8
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total female new hires,, ,0,2
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,2
,Actual,,Total male new hires,, ,0,1
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,1
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,0%,67%
,Actual,Bold,Total new hires,, ,0,3
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total female new hires,, ,13,19
,Actual,,Female under 30 years,, ,9,14
,Actual,,Female 30-50 years,, ,3,4
,Actual,,Female over 50 years,, ,1,1
,Actual,,Total male new hires,, ,15,14
,Actual,,Male under 30 years,, ,7,7
,Actual,,Male 30-50 years,, ,5,5
,Actual,,Male over 50 years,, ,3,2
,Actual,Bold,% Female new hires,, ,46%,58%
,Actual,Bold,Total new hires,, ,28,33
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total female new hires,, ,21,22
,Actual,,Female under 30 years,, ,11,11
,Actual,,Female 30-50 years,, ,10,9
,Actual,,Female over 50 years,, ,0,2
,Actual,,Total male new hires,, ,21,36
,Actual,,Male under 30 years,, ,10,18
,Actual,,Male 30-50 years,, ,8,11
,Actual,,Male over 50 years,, ,3,7
,Actual,Bold,% Female new hires,, ,50%,38%
,Actual,Bold,Total new hires,, ,42,58
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total female new hires,, ,0,
,Actual,,Female under 30 years,, ,0,
,Actual,,Female 30-50 years,, ,0,
,Actual,,Female over 50 years,, ,0,
,Actual,,Total male new hires,, ,0,
,Actual,,Male under 30 years,, ,0,
,Actual,,Male 30-50 years,, ,0,
,Actual,,Male over 50 years,, ,0,
,Actual,Bold,% Female new hires,, ,0%,
,Actual,Bold,Total new hires,, ,0,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total female new hires,, ,,17
,Actual,,Female under 30 years,, ,,8
,Actual,,Female 30-50 years,, ,,9
,Actual,,Female over 50 years,, ,,0
,Actual,,Total male new hires,, ,,12
,Actual,,Male under 30 years,, ,,3
,Actual,,Male 30-50 years,, ,,9
,Actual,,Male over 50 years,, ,,0
,Actual,Bold,% Female new hires,, ,,59%
,Actual,Bold,Total new hires,, ,,29
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total female new hires,, ,9,1
,Actual,,Female under 30 years,, ,3,1
,Actual,,Female 30-50 years,, ,4,0
,Actual,,Female over 50 years,, ,2,0
,Actual,,Total male new hires,, ,13,14
,Actual,,Male under 30 years,, ,1,1
,Actual,,Male 30-50 years,, ,6,8
,Actual,,Male over 50 years,, ,6,5
,Actual,Bold,% Female new hires,, ,41%,7%
,Actual,Bold,Total new hires,, ,22,15
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total female new hires,, ,3,5
,Actual,,Female under 30 years,, ,1,2
,Actual,,Female 30-50 years,, ,2,1
,Actual,,Female over 50 years,, ,0,2
,Actual,,Total male new hires,, ,6,7
,Actual,,Male under 30 years,, ,1,1
,Actual,,Male 30-50 years,, ,2,4
,Actual,,Male over 50 years,, ,3,2
,Actual,Bold,% Female new hires,, ,33%,42%
,Actual,Bold,Total new hires,, ,9,12
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total female new hires,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,1,4
,Actual,,Male under 30 years,, ,0,1
,Actual,,Male 30-50 years,, ,1,3
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,0%,0%
,Actual,Bold,Total new hires,, ,1,4
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total female new hires,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,1,0
,Actual,,Male under 30 years,, ,1,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,% Female new hires,, ,0%,0%
,Actual,Bold,Total new hires,, ,1,0
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total female new hires,, ,440,462
,Actual,,Female under 30 years,, ,264,289
,Actual,,Female 30-50 years,, ,147,138
,Actual,,Female over 50 years,, ,29,35
,Actual,,Total male new hires,, ,"1,450","1,476"
,Actual,,Male under 30 years,, ,632,678
,Actual,,Male 30-50 years,, ,648,658
,Actual,,Male over 50 years,, ,170,140
,Actual,Bold,% Female new hires,, ,23%,24%
,Actual,Bold,Total new hires,, ,"1,890","1,938"
,,,,, ,,
,,Abstract Bold,"New Employee Hire Rate by Gender, and Region",,401-01,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Total female new hire rate,, ,76.2%,75.0%
,Actual,,Total male new hire rate,, ,38.5%,31.9%
,Actual,,Total new hire rate,, ,47.7%,43.0%
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total female new hire rate,, ,0.0%,0.0%
,Actual,,Total male new hire rate,, ,9.1%,0.0%
,Actual,,Total new hire rate,, ,7.1%,0.0%
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total female new hire rate,, ,0.0%,0.0%
,Actual,,Total male new hire rate,, ,0.0%,0.0%
,Actual,,Total new hire rate,, ,0.0%,0.0%
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total female new hire rate,, ,50.0%,200.0%
,Actual,,Total male new hire rate,, ,28.6%,22.2%
,Actual,,Total new hire rate,, ,33.3%,66.7%
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total female new hire rate,, ,0.0%,66.7%
,Actual,,Total male new hire rate,, ,0.0%,11.1%
,Actual,,Total new hire rate,, ,0.0%,25.0%
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total female new hire rate,, ,19.1%,21.8%
,Actual,,Total male new hire rate,, ,11.5%,9.2%
,Actual,,Total new hire rate,, ,14.1%,13.8%
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total female new hire rate,, ,22.8%,19.6%
,Actual,,Total male new hire rate,, ,18.1%,27.7%
,Actual,,Total new hire rate,, ,20.2%,24.0%
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total female new hire rate,, ,0.0%,
,Actual,,Total male new hire rate,, ,10.9%,
,Actual,,Total new hire rate,, ,0.0%,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total female new hire rate,, ,,18.9%
,Actual,,Total male new hire rate,, ,,18.2%
,Actual,,Total new hire rate,, ,,18.6%
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total female new hire rate,, ,90.0%,14.3%
,Actual,,Total male new hire rate,, ,54.2%,58.3%
,Actual,,Total new hire rate,, ,71.0%,48.4%
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total female new hire rate,, ,10.3%,14.7%
,Actual,,Total male new hire rate,, ,10.9%,16.6%
,Actual,,Total new hire rate,, ,10.7%,15.7%
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total female new hire rate,, ,0.0%,0.0%
,Actual,,Total male new hire rate,, ,8.3%,33.3%
,Actual,,Total new hire rate,, ,7.7%,26.7%
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total female new hire rate,, ,0.0%,0.0%
,Actual,,Total male new hire rate,, ,7.7%,0.0%
,Actual,,Total new hire rate,, ,6.7%,0.0%
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total female new hire rate,, ,32.8%,28.9%
,Actual,,Total male new hire rate,, ,18.1%,16.6%
,Actual,,Total new hire rate,, ,20.3%,18.5%
,,,,, ,,
,,Abstract Bold,"Permanent Employee Turnover by Age Group, Gender, and Region",,401-01,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Total female turnover,, ,3,1
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,1,1
,Actual,,Female over 50 years,, ,2,0
,Actual,,Total male turnover,, ,1,1
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,1,1
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,Total turnover,, ,4,2
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total female turnover,, ,0,1
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,1
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,0,1
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,1
,Actual,Bold,Total turnover,, ,0,2
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total female turnover,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,0,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,Total turnover,, ,0,0
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total female turnover,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,0,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,Total turnover,, ,0,0
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total female turnover,, ,0,1
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,1
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,0,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,Total turnover,, ,0,1
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total female turnover,, ,3,3
,Actual,,Female under 30 years,, ,1,0
,Actual,,Female 30-50 years,, ,2,1
,Actual,,Female over 50 years,, ,0,2
,Actual,,Total male turnover,, ,7,7
,Actual,,Male under 30 years,, ,1,0
,Actual,,Male 30-50 years,, ,4,3
,Actual,,Male over 50 years,, ,2,4
,Actual,Bold,Total turnover,, ,10,10
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total female turnover,, ,4,6
,Actual,,Female under 30 years,, ,0,1
,Actual,,Female 30-50 years,, ,4,5
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,10,11
,Actual,,Male under 30 years,, ,1,0
,Actual,,Male 30-50 years,, ,8,11
,Actual,,Male over 50 years,, ,1,0
,Actual,Bold,Total turnover,, ,14,17
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total female turnover,, ,5,
,Actual,,Female under 30 years,, ,1,
,Actual,,Female 30-50 years,, ,3,
,Actual,,Female over 50 years,, ,1,
,Actual,,Total male turnover,, ,14,
,Actual,,Male under 30 years,, ,1,
,Actual,,Male 30-50 years,, ,5,
,Actual,,Male over 50 years,, ,8,
,Actual,Bold,Total turnover,, ,19,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total female turnover,, ,,4
,Actual,,Female under 30 years,, ,,0
,Actual,,Female 30-50 years,, ,,3
,Actual,,Female over 50 years,, ,,1
,Actual,,Total male turnover,, ,,2
,Actual,,Male under 30 years,, ,,0
,Actual,,Male 30-50 years,, ,,2
,Actual,,Male over 50 years,, ,,0
,Actual,Bold,Total turnover,, ,,6
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total female turnover,, ,4,1
,Actual,,Female under 30 years,, ,2,0
,Actual,,Female 30-50 years,, ,1,1
,Actual,,Female over 50 years,, ,1,0
,Actual,,Total male turnover,, ,12,5
,Actual,,Male under 30 years,, ,1,2
,Actual,,Male 30-50 years,, ,10,0
,Actual,,Male over 50 years,, ,1,3
,Actual,Bold,Total turnover,, ,16,6
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total female turnover,, ,5,1
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,5,1
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,11,5
,Actual,,Male under 30 years,, ,3,0
,Actual,,Male 30-50 years,, ,1,1
,Actual,,Male over 50 years,, ,7,4
,Actual,Bold,Total turnover,, ,16,6
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total female turnover,, ,0,0
,Actual,,Female under 30 years,, ,0,0
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,2,0
,Actual,,Male under 30 years,, ,0,0
,Actual,,Male 30-50 years,, ,0,0
,Actual,,Male over 50 years,, ,2,0
,Actual,Bold,Total turnover,, ,2,0
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total female turnover,, ,0,1
,Actual,,Female under 30 years,, ,0,1
,Actual,,Female 30-50 years,, ,0,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,0,2
,Actual,,Male under 30 years,, ,0,1
,Actual,,Male 30-50 years,, ,0,1
,Actual,,Male over 50 years,, ,0,0
,Actual,Bold,Total turnover,, ,0,3
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total female turnover,, ,150,157
,Actual,,Female under 30 years,, ,32,43
,Actual,,Female 30-50 years,, ,101,92
,Actual,,Female over 50 years,, ,17,22
,Actual,,Total male turnover,, ,874,857
,Actual,,Male under 30 years,, ,156,175
,Actual,,Male 30-50 years,, ,517,529
,Actual,,Male over 50 years,, ,201,153
,Actual,Bold,Total turnover,, ,"1,024","1,014"
,,,,, ,,
,,Abstract Bold,"Permanent Employee Turnover rate by Gender, and Region",,401-1,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Total female turnover rate,, ,25.0%,9.1%
,Actual,,Total male turnover rate,, ,2.2%,2.2%
,Actual,Bold,Total turnover rate,, ,7.0%,3.5%
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Total female turnover rate,, ,0.0%,50.0%
,Actual,,Total male turnover rate,, ,0.0%,12.5%
,Actual,Bold,Total turnover rate,, ,0.0%,20.0%
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Total female turnover rate,, ,0.0%,0.0%
,Actual,,Total male turnover rate,, ,0.0%,0.0%
,Actual,Bold,Total turnover rate,, ,0.0%,0.0%
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,,Total female turnover rate,, ,0.0%,0.0%
,Actual,,Total male turnover rate,, ,0.0%,0.0%
,Actual,Bold,Total turnover rate,, ,0.0%,0.0%
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,,Total female turnover rate,, ,0.0%,33.3%
,Actual,,Total male turnover rate,, ,0.0%,0.0%
,Actual,Bold,Total turnover rate,, ,0.0%,8.3%
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Total female turnover rate,, ,5.1%,3.7%
,Actual,,Total male turnover rate,, ,5.8%,4.8%
,Actual,Bold,Total turnover rate,, ,5.6%,4.4%
,,Abstract Bold,Administration Regional CSD,, ,,
,Actual,,Total female turnover rate,, ,5.0%,6.4%
,Actual,,Total male turnover rate,, ,9.1%,9.6%
,Actual,Bold,Total turnover rate,, ,7.4%,8.1%
,,Abstract Bold,KLG Head Office,, ,,
,Actual,,Total female turnover rate,, ,33.3%,
,Actual,,Total male turnover rate,, ,100.0%,
,Actual,Bold,Total turnover rate,, ,65.5%,
,,Abstract Bold,Nunavut Service Group (NSG),, ,,
,Actual,,Total female turnover rate,, ,,5.3%
,Actual,,Total male turnover rate,, ,,3.4%
,Actual,Bold,Total turnover rate,, ,,4.5%
,,Abstract Bold,Northern Territory (NT),, ,,
,Actual,,Total female turnover rate,, ,80.0%,25.0%
,Actual,,Total male turnover rate,, ,85.7%,29.4%
,Actual,Bold,Total turnover rate,, ,84.2%,28.6%
,,Abstract Bold,Cdn Regional Office(s),, ,,
,Actual,,Total female turnover rate,, ,17.2%,3.1%
,Actual,,Total male turnover rate,, ,20.0%,12.1%
,Actual,Bold,Total turnover rate,, ,19.1%,8.2%
,,Abstract Bold,Aus Regional Office(s),, ,,
,Actual,,Total female turnover rate,, ,0.0%,0.0%
,Actual,,Total male turnover rate,, ,18.2%,0.0%
,Actual,Bold,Total turnover rate,, ,15.4%,0.0%
,,Abstract Bold,Aus Exploration,, ,,
,Actual,,Total female turnover rate,, ,0.0%,100.0%
,Actual,,Total male turnover rate,, ,0.0%,16.7%
,Actual,Bold,Total turnover rate,, ,0.0%,23.1%
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Total female turnover rate,, ,12.8%,11.1%
,Actual,,Total male turnover rate,, ,11.3%,9.9%
,Actual,Bold,Total turnover rate,, ,11.5%,10.1%
,,,,, ,,
,,Abstract Bold,Diversity of Employee in Management Positions by Gender,, ,,
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Female front-line management and supervisors,, ,174,
,Actual,,Male front-line management and supervisors,, ,"1,074",
,Actual,Bold,%Female front-line management and supervisors,, ,14%,
,Actual,,Female senior management,, ,87,
,Actual,,Male senior management,, ,304,
,Actual,Bold,%Female senior management,, ,22%,
,Actual,,Female in all management positions,, ,261,
,Actual,,Male in all management positions,, ,"1,378",
,Actual,Bold,%Female in all management positions,, ,19%,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,,Female front-line management and supervisors,, ,2,
,Actual,,Male front-line management and supervisors,, ,13,
,Actual,Bold,%Female front-line management and supervisors,, ,13%,
,Actual,Bold,%Female senior management,, ,N/A,
,Actual,,Female in all management positions,, ,2,
,Actual,,Male in all management positions,, ,13,
,Actual,Bold,%Female in all management positions,, ,15%,
,,Abstract Bold,Exploration USA,, ,,
,Actual,,Female front-line management and supervisors,, ,1,
,Actual,,Male front-line management and supervisors,, ,5,
,Actual,Bold,%Female front-line management and supervisors,, ,17%,
,Actual,,Female senior management,, ,0,
,Actual,,Male senior management,, ,5,
,Actual,Bold,%Female senior management,, ,0%,
,Actual,,Female in all management positions,, ,1,
,Actual,,Male in all management positions,, ,10,
,Actual,Bold,%Female in all management positions,, ,10%,
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,,Female front-line management and supervisors,, ,1,
,Actual,,Male front-line management and supervisors,, ,0,
